,noc,name,lnk,dis,Date of Birth,Age,Gender,Sport Class,Languages spoken,Birth Country,Debut,Ambition,Hero,Influence,Philosophy,Award,Injuries
10,EGY,ABDELLATIF Abdelnaby,../../../en/results/sitting-volleyball/athlete-profile-n1706600-abdellatif-abdelnaby.htm,VBS, 18 Jun 1972,49.0, Male, VS1,Arabic,,,,,,,,
11,TUN,ABDELLI Rima,../../../en/results/athletics/athlete-profile-n1362092-abdelli-rima.htm,ATH, 24 Feb 1988,33.0, Female, F40,"Arabic, English, French","
 Tunisia","2011 for Tunisia (Athlete, 21 Oct 2015)","To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 02 Oct 2019)","US swimmer Michael Phelps. (Athlete, 15 Jul 2017)","Coach Ali Ganfoudi. (Athlete, 15 Jul 2017)",,,"She injured her back in 2016. (Athlete, 15 Jul 2017)"
12,EGY,ABDELMAJID Taha,../../../en/results/powerlifting/athlete-profile-n1465019-abdelmajid-taha.htm,PWL, 8 Jun 1987,34.0, Male, PWL,Arabic,"
 Egypt","2009 for Egypt (Athlete, 12 Jul 2019)","To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 31 May 2021)","Egyptian Para powerlifter Shaaban Yahya El Desouky. (Athlete, 31 May 2021)","Coach Said Abd El Hafez, and his father. (Athlete, 31 May 2021)",,,
13,EGY,ABDELSHAFI Malak,../../../en/results/swimming/athlete-profile-n1497726-abdelshafi-malak.htm,SWM, 11 Mar 2003,18.0, Female, SB4,"Arabic, English","
 Egypt",,"To win a gold medal at the 2020 Paralympic Games in Tokyo. (Athlete, 25 Aug 2021)","US swimmer Michael Phelps, British swimmer Adam Peaty, Egyptian footballer Mohamed Salah. (Athlete, 11 Mar 2019, 08 Dec 2017)","Her family. (Athlete, 25 Aug 2021)","""Never let your head drop. Never give up or sit down and grieve. Find another way."" (Athlete, 21 Mar 2020)",,"In 2018 she was diagnosed with Kienbock's disease, a condition where the blood supply to the lunate bone in the wrist is interrupted. She had the bone removed from her left wrist. (Athlete, 25 Aug 2021, 16 May 2021; egypt.unwomen.org, 15 Oct 2020)"
14,IRI,ABDI Hassan,../../../en/results/wheelchair-basketball/athlete-profile-n1515748-abdi-hassan.htm,WBK, 22 Nov 1985,35.0, Male, 2.0,Farsi,"
 Islamic Republic of Iran","2013 for Iran, in Bangkok, Thailand (Athlete, 22 Aug 2021)",,,,,,
15,UZB,ABDULKHABIBOV Azizbek,../../../en/results/canoe-sprint/athlete-profile-n1645189-abdulkhabibov-azizbek.htm,CSP, 16 Dec 1993,27.0, Male, KL2,Uzbek,"
 Uzbekistan",,"To win a gold medal at the Paralympic Games. (fergana.uz, 19 Feb 2020)",,,,,
16,AZE,ABDULLAKHANLI Kanan,../../../en/results/judo/athlete-profile-n1285557-abdullakhanli-kanan.htm,JUD, 2 Jul 1987,34.0, Male, B3,Azerbaijani,"
 Azerbaijan","2015 for Azerbaijan, World Cup in Eger, Hungary (Athlete, 01 Apr 2016)",,,"Azerbaijani Para judoka Ilham Zakiyev. (Athlete, 01 Apr 2016)",,,
17,IRQ,ABDULRAHEEM Kovan,../../../en/results/athletics/athlete-profile-n1504345-abdulraheem-kovan.htm,ATH, 1 Mar 1988,33.0, Male, F41,"Arabic, English, Kurdish","
 Iraq","2010 for Iraq (Athlete, 20 Jul 2017)",,"His father. (Athlete, 08 Nov 2019)","His father. (Athlete, 23 Aug 2021)","""It is important to reach the top, but what is more important is how you are able to maintain the top."" (Athlete, 20 Jul 2017)",,
18,KAZ,ABDYKHALYKOVA Gulbanu,../../../en/results/powerlifting/athlete-profile-n1717191-abdykhalykova-gulbanu.htm,PWL, 15 Sep 1972,48.0, Female, PWL,"Kazakh, Russian","
 Kazakhstan","2006 for Kazakhstan, in Kuala Lumpur, Malaysia (Athlete, 28 Aug 2016)","To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 07 Feb 2019)","Kazakhstani powerlifter Lyazat Salimzhanova. (Athlete, 28 Aug 2016)",,,"She has received the title of Master of Sport of International Class in Kazakhstan. (kazsports.kz, 20 Dec 2017; Athlete, 28 Aug 2016)",
19,JPN,ABE Chisato,../../../en/results/wheelchair-fencing/athlete-profile-n1718912-abe-chisato.htm,WFE, 25 Oct 1978,42.0, Female, B,Japanese,"
 Japan","2018 for Japan (shikoku-np.co.jp, 03 Jul 2021)",,,,,,
20,LBA,ABIDAR Mohamed,../../../en/results/taekwondo/athlete-profile-n1735779-abidar-mohamed.htm,TKW, 21 Apr 1990,31.0, Male, K44,"Arabic, English, French","
 Libya",,,"His parents. (Athlete, 28 Aug 2021)","His coach and father El Snousy Abidar. (Athlete, 28 Aug 2021)",,,
21,GBR,ABIDOGUN Ola,../../../en/results/athletics/athlete-profile-n1727806-abidogun-ola.htm,ATH, 3 Aug 1993,28.0, Male, T47,English,"
 Great Britain",,"To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 05 Jan 2020)","Jamaican sprinter Usain Bolt. (btplc.com, 31 Dec 2009)",,"""It's not about the disability, it's about the ability."" (blottr.com, 23 Aug 2012)",,
22,KAZ,ABILKHASSYMKYZY Saltanat,../../../en/results/athletics/athlete-profile-n1568388-abilkhassymkyzy-saltanat.htm,ATH, 14 Jan 2000,21.0, Female, T35,"Kazakh, Russian","
 Kazakhstan",,"To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 19 Aug 2021)","Kazakhstani Para swimmer Zulfiya Gabidullina. (Athlete, 19 Aug 2021)","Coach Takhir Mamashayev. (Athlete, 19 Aug 2021)",,,
23,AUT,ABLINGER Walter,../../../en/results/cycling-road/athlete-profile-n1341400-ablinger-walter.htm,CRD, 12 May 1969,52.0, Male, H3,"English, German","
 Austria","2009 for Austria, World Championships in Bogogno, Italy (Athlete, 13 Dec 2011)","To compete at the 2020 Paralympic Games in Tokyo. (tips.at, 09 Apr 2020)","US actor Arnold Schwarzenegger, Italian racing driver and Para cyclist Alex Zanardi. (Athlete, 22 Aug 2021)","His family, and coach Christoph Etzlstorfer. (Athlete, 22 Aug 2021)","""Live your dream. Success starts in your head."" (Athlete, 13 Dec 2011)","In 2017 he received the Gold Medal of the Austrian Disabled Sports Association [OBSV]. (der.orf.at, 01 Aug 2019; radsportverband.at, 09 Nov 2017)","He was sidelined for three months after he broke bones in both legs while competing at the 2014 Treviso Marathon in Italy. (Athlete, 10 Sep 2016)"
24,EGY,ABOHEGAZY Salma,../../../en/results/taekwondo/athlete-profile-n1542540-abohegazy-salma.htm,TKW, 10 Apr 2003,18.0, Female, K44,,,,,,,,,
25,EGY,ABOUELKHIR Metawa,../../../en/results/sitting-volleyball/athlete-profile-n1706811-abouelkhir-metawa.htm,VBS, 20 Oct 1976,44.0, Male, VS1,Arabic,"
 Egypt",,"To win gold at the 2020 Paralympic Games in Tokyo. (Athlete, 25 Aug 2021)",,"His father. (Athlete, 25 Aug 2021)",,,
26,EGY,ABOUELYAZEID Mohamed,../../../en/results/sitting-volleyball/athlete-profile-n1706775-abouelyazeid-mohamed.htm,VBS, 29 Mar 1979,42.0, Male, VS1,,,,,,,,,
27,BRA,ABRAHAM de DEUS Michel Gustavo,../../../en/results/athletics/athlete-profile-n1362230-abraham-de-deus-michel-gustavo.htm,ATH, 3 Nov 1997,23.0, Male, T46,Portuguese,"
 Brazil",,"To win a medal at the 2020 Paralympic Games in Tokyo. (blastingnews.com, 25 Dec 2017)",,,"""When competing I think about my family, I think about how hard I worked to get there. I think of everyone who helped me. How hard I tried, how hard others tried to help me."" (blastingnews.com, 25 Dec 2017)",,
28,NED,ABRAHAM GEBRU Daniel,../../../en/results/cycling-road/athlete-profile-n1708816-abraham-gebru-daniel.htm,CRD, 11 Feb 1985,36.0, Male, C5,Dutch,"
 Eritrea",,"To win two gold medals - one in track cycling and one in road cycling - at the 2020 Paralympic Games in Tokyo. (beatcyclingclub.com, 03 Feb 2020)",,,,"He received the Knight of the Order of Orange-Nassau in the Netherlands after winning a gold medal in the road race at the 2016 Paralympic Games in Rio de Janeiro. (beatcyclingclub.com, 03 Feb 2020)",
29,NED,ABRAHAM GEBRU Daniel,../../../en/results/cycling-track/athlete-profile-n1708816-abraham-gebru-daniel.htm,CTR, 11 Feb 1985,36.0, Male, C5,Dutch,"
 Eritrea",,"To win two gold medals - one in track cycling and one in road cycling - at the 2020 Paralympic Games in Tokyo. (beatcyclingclub.com, 03 Feb 2020)",,,,"He received the Knight of the Order of Orange-Nassau in the Netherlands after winning a gold medal in the road race at the 2016 Paralympic Games in Rio de Janeiro. (beatcyclingclub.com, 03 Feb 2020)",
30,USA,ABRAHAMS David Henry,../../../en/results/swimming/athlete-profile-n1690672-abrahams-david-henry.htm,SWM, 3 May 2001,20.0, Male," S13,SB13,SM13",English,,,"To compete in more than one event at the 2020 Paralympic Games in Tokyo. (teamusa.org, 10 Jun 2021)",,"His parents. (teamusa.org, 10 Jun 2021)","""I really want to make an impact not only on the times I'm putting forward, but I want to show people that are in my situation that you don't have to sacrifice your goals and your dreams just because of the position you're in. I'm hoping that's what my legacy could be."" (teamusa.org, 10 Jun 2021)","In 2019 he was inducted into the Pennsylvania Sports Hall of Fame, Delaware County Chapter. (gocrimson.com 01 Sep 2020)",
31,SOM,ABSHIR OMAR Mahdi,../../../en/results/athletics/athlete-profile-n1738734-abshir-omar-mahdi.htm,ATH, 4 May 1989,32.0, Male, F57,,,,,,,"""I encourage every person with an impairment to believe in themselves, that they can achieve anything they want. Don't give up."" (Dalsoor YouTube channel, 24 Jul 2017)",,
32,JOR,ABU AWAD Khetam,../../../en/results/table-tennis/athlete-profile-n1358537-abu-awad-khetam.htm,TTE, 8 Oct 1974,46.0, Female, 5,"Arabic, English","
 Jordan","1996 for Jordan, World Games in Stoke Mandeville, Great Britain (Athlete, 25 Aug 2021, 07 Sep 2016)",,,"Her family, and coach Haroun Al-Shaltouni. (Athlete, 25 Aug 2021)",,"She won the Black Iris Sports Award for Para Athlete of the Year in 2006, 2007, 2008 and 2015. (joc.jo, 2015)",
33,DOM,ABUD CORONADO Jose Manuel,../../../en/results/powerlifting/athlete-profile-n1638563-abud-coronado-jose-manuel.htm,PWL, 26 Oct 1974,46.0, Male, PWL,Spanish,"
 Dominican Republic","2016 for Dominican Republic, World Cup in Rio de Janeiro, Brazil (Athlete, 21 May 2019)","To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 21 May 2019)","Italian Moto GP rider Valentino Rossi. (Athlete, 21 May 2019)","Coach Ayman Kichi. (Athlete, 21 May 2019)","""You can do it."" (Athlete, 21 May 2019)","He was flag bearer for the Dominican Republic at the opening ceremony of the 2019 Parapan American Games in Lima, Peru. (sideropolis.es, 27 Aug 2019)",
34,AZE,ABUZARLI Abulfaz,../../../en/results/taekwondo/athlete-profile-n1286165-abuzarli-abulfaz.htm,TKW, 4 Aug 1991,30.0, Male, K44,"Arabic, Azerbaijani, English, Russian, Turkish","
 Azerbaijan",,"To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 11 Jun 2021)","Jordanian taekwondo athlete Ahmad Abughaush, Korean taekwondo athlete Lee Dae-Hoon, Azerbaijani taekwondo athletes Niyamaddin Pashayev and Milad Beigi. (Athlete, 11 Jun 2021)","Coaches Farid Taghizade and Avaz Taghiyev. (Athlete, 11 Jun 2021)",,,
35,TUR,ACAR Deniz,../../../en/results/wheelchair-basketball/athlete-profile-n1729595-acar-deniz.htm,WBK, 9 Jan 1976,45.0, Male, 2.5,Turkish,"
 Turkey",,,,,,,
36,ARG,ACCARDI Federico,../../../en/results/football-5-a-side/athlete-profile-n1690089-accardi-federico.htm,FB5, 26 Jun 1989,32.0, Male, B1,Spanish,"
 Argentina",,,"Argentinian footballer Lionel Messi. (Athlete, 01 Apr 2016)","His grandfather. (Athlete, 01 Apr 2016)","""Live football like life."" (Athlete, 01 Apr 2016)",,
37,ESA,ACEITUNO Herbert,../../../en/results/powerlifting/athlete-profile-n1459259-aceituno-herbert.htm,PWL, 1 Nov 1985,35.0, Male, PWL,Spanish,"
 El Salvador","2016 for El Salvador, World Cup in Rio de Janeiro, Brazil (Athlete, 22 May 2019)","To win a medal at the Paralympic Games. (elmetropolitanodigital.com, 04 Nov 2018)","Brazilian footballer Ronaldinho. (Athlete, 05 Dec 2017)","His father. (Athlete, 24 Aug 2021)","""Disability is in the mind, not the body."" (Athlete, 24 Aug 2021)","He was voted Best Male Athlete at the 2019 Parapan American Games in Lima, Peru, in a public poll organised by the Americas Paralympic Committee. (paralympic.org, 11 Oct 2019)","He has sustained wrist and shoulder injuries during his career. (Athlete, 22 May 2019)"
38,MEX,ACEVES PEREZ Haidee Viviana,../../../en/results/swimming/athlete-profile-n1363384-aceves-perez-haidee-viviana.htm,SWM, 23 Mar 1993,28.0, Female, S3,"English, Spanish","
 Mexico",,,,"Her family. (Athlete, 03 Dec 2017)","""When you want to do something with all your heart and all your strength, you'll always achieve it. There is no barrier or obstacle."" (informador.com.mx, 17 Sep 2014)","In 2018 she received the Jalisco State Youth Award in Mexico. (Instagram profile, 05 Dec 2018)",
39,ITA,ACHENZA Giovanni,../../../en/results/triathlon/athlete-profile-n1615046-achenza-giovanni.htm,TRI, 31 Jul 1971,50.0, Male, PTWC1,Italian,"
 Italy",,,,,,,
40,COL,ACOSTA MANJARRES Yamil David,../../../en/results/athletics/athlete-profile-n1361652-acosta-manjarres-yamil-david.htm,ATH, 17 Oct 1997,23.0, Male, T12,Spanish,"
 Colombia",,,"Argentinian footballer Lionel Messi. (Athlete, 22 Aug 2021)","His parents. (Athlete, 22 Aug 2021)","""Limits can be broken."" (Athlete, 22 Aug 2021)",,
41,ESP,ACOSTA RODRIGUEZ Adolfo,../../../en/results/football-5-a-side/athlete-profile-n1448810-acosta-rodriguez-adolfo.htm,FB5, 19 May 1981,40.0, Male, B1,Spanish,"
 Spain","2002 for Spain, European Championships in Paris, France (dxtadaptado.com, 24 May 2018)",,,,"""When I play Para football I feel free because on the pitch I don't need my stick or the help of anybody else. I have always been quite shy and sport has brought me many things, like happiness, orientation, meeting people, travelling and learning how to live with different groups of people."" (ONCE Twitter profile, 29 May 2018; dxtadaptado.com, 24 May 2018)",,
42,COL,ACOSTA SOTO Omar Jose,../../../en/results/athletics/athlete-profile-n1353543-acosta-soto-omar-jose.htm,ATH, 18 May 2000,21.0, Male, T36,,"
 Colombia",,"To win a medal at the 2020 Paralympic Games in Tokyo. (primertiempo.co, 19 Nov 2020)",,,,,
43,ISL,ADALSTEINSDOTTIR Bergrun Osk,../../../en/results/athletics/athlete-profile-n1466935-adalsteinsdottir-bergrun-osk.htm,ATH, 18 Sep 2000,20.0, Female," T37,F37","English, Icelandic","
 Iceland","2017 for Iceland, in Switzerland (Athlete, 20 Aug 2018)","To compete at the 2020 Paralympic Games in Tokyo. (ruv.is, 12 Dec 2019)","Jamaican sprinter Usain Bolt, German Para long jumper Markus Rehm. (Athlete, 19 Nov 2019)","Coach Brynjar Gunnarsson. (Athlete, 20 Aug 2018)",,"She was named 2018, 2019 and 2020 Icelandic Sports Association for the Impaired [IF] Female Athlete of the Year. (fjardarfrettir.is, 15 Dec 2020; ruv.is, 12 Dec 2019)",
44,HUN,ADAMI Zsanett,../../../en/results/swimming/athlete-profile-n1728685-adami-zsanett.htm,SWM, 20 Dec 1994,26.0, Female, S2,"English, French, Hungarian, Spanish","
 Hungary","2010 for Hungary (Athlete, 13 Aug 2018)","To compete at the 2020 Paralympic Games in Tokyo. She also plans to study for a master's degree and doctorate degree. (hparalimpia.hu, 01 Mar 2020; femcafe.hu, 20 Feb 2020)","Hungarian swimmer Daniel Gyurta. (Athlete, 12 Sep 2019)","Her family. (Athlete, 13 Aug 2018)","""To overcome the almost impossible."" (Athlete, 13 Jul 2015)",,
45,NZL,ADAMS Lisa,../../../en/results/athletics/athlete-profile-n1616440-adams-lisa.htm,ATH, 18 Nov 1990,30.0, Female, F37,"English, Spanish","
 New Zealand","2019 for New Zealand, World Championships in Dubai, United Arab Emirates (Athlete, 06 Nov 2019; paralympic.org, 09 Nov 2019)","To compete at the 2020 Paralympic Games in Tokyo. (newsroom.co.nz, 21 Dec 2020)",,"Her son Hikairo. (Athlete, 06 Nov 2019)",,,
46,ITA,ADDESI Pierpaolo,../../../en/results/cycling-road/athlete-profile-n1687161-addesi-pierpaolo.htm,CRD, 29 Jun 1976,45.0, Male, C5,Italian,"
 Italy","2005 for Italy (news.you-ng.it, 02 Feb 2012)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook profile, 30 Jun 2021)",,,,,"He suffered an injury in March 2021 that he described as serious and credited the work of medical staff for helping him make a quick recovery. (Facebook profile, 30 Jun 2021)"
47,IRL,ADDISON Tamsin,../../../en/results/equestrian/athlete-profile-n1305701-addison-tamsin.htm,EQU, 5 Feb 1973,48.0, Female, GV,English,"
 Great Britain",,"To win a gold medal at the Paralympic Games. (Casey Hennessy Vimeo profile, 07 Aug 2017; tamsinaddison.co.uk, 30 Oct 2020)",,,"""If I can beat cancer, I can beat anything."" (Casey Hennessy Vimeo profile, 07 Aug 2017)",,
48,GBR,ADENEGAN Kare,../../../en/results/athletics/athlete-profile-n1727770-adenegan-kare.htm,ATH, 29 Dec 2000,20.0, Female, T34,English,"
 Great Britain","2015 for Great Britain, World Championships in Doha, Qatar (britishathletics.org.uk, 20 Oct 2015)","To win gold at the 2020 Paralympic Games in Tokyo, and to compete at the 2022 Commonwealth Games in Birmingham, England. (paralympic.org, 24 Aug 2019; birmingham2022.com, 02 Dec 2020)","British rower Debbie Flood, British wheelchair racers Anne Wafula-Strike and Hannah Cockroft. (paralympic.org, 24 Aug 2019; friargatecoventry.co.uk, 01 Jan 2017)","British wheelchair racer Hannah Cockroft. (athleticsweekly.com, 05 Nov 2019)","""It's all about patience and perseverance. The one thing I really learnt in my career is that things don't always go your way instantly so it's important to remain motivated."" (Instagram profile, 15 Nov 2019)","In 2018 she was named the BBC Young Sports Personality of the Year. (bbc.co.uk, 16 Dec 2018)",
49,NGR,ADESOKAN Yakubu,../../../en/results/powerlifting/athlete-profile-n1590694-adesokan-yakubu.htm,PWL, 16 Jul 1979,42.0, Male, PWL,English,"
 Nigeria","2010 for Nigeria (Athlete, 10 Jul 2019)","To compete at the 2020 Paralympic Games in Tokyo. (maravipost.com, 16 Feb 2019)","Nigerian Para powerlifter Lucy Ejike. (Athlete, 10 Jul 2019)","Nigerian Para powerlifter Ruel Ishiaku. (Athlete, 10 Jul 2019)",,"In 2012 he was named Member of the Order of the Niger [MON] and received a financial reward from the Oyo State Government in recognition of his gold medal-winning performance at the 2012 Paralympic Games in London. The Oluyole local government also named a street after him in 2012 and made him the sports ambassador for the council. (sportsdayonline.com, 20 Mar 2014; thisdaylive.com, 04 Mar 2013, 13 Oct 2012)","He fractured his shoulder blade at the 2004 National Sports Festival in Abuja, Nigeria. (punchng.com, 08 Sep 2012)"
50,GER,ADLER Anja,../../../en/results/canoe-sprint/athlete-profile-n1366811-adler-anja.htm,CSP, 14 Apr 1989,32.0, Female, KL2,English,"
 Germany",,,"German Para cyclist Michael Teuber. (teamdeutschland-paralympics.de, 21 Aug 2017)","Her family. (mz.de, 08 Sep 2017)","""He who fights can lose, he who doesn't fight has already lost."" (Athlete, 22 Aug 2021)","In 2017 and 2019 she was named Sportswoman of the Year in Halle, Germany. (kanu.de, 13 Jan 2020; hallescher-kanu-club.de, 17 Jan 2018)",
51,FRA,ADOLPHE Timothee,../../../en/results/athletics/athlete-profile-n1358165-adolphe-timothee.htm,ATH, 29 Dec 1989,31.0, Male, T11,French,"
 France","2012 for France (Athlete, 23 Oct 2015)","To win a medal at the 2020 Paralympic Games in Tokyo. (enroutepourrio.eu, 16 Jan 2018)","French basketball player Tony Parker, US basketball player Michael Jordan, Jamaican sprinter Usain Bolt, French sprinter Marie-Jose Perec. (Athlete, 23 Oct 2015)","His family. (Athlete, 23 Oct 2015)","""Persistence and determination."" (sans-filtre.fr, 14 Aug 2018)",,"He had a hamstring injury one month before the 2017 World Championships in London, England, that affected his preparation for the tournament. (lefigaro.fr, 22 Aug 2018)"
52,RPC,ADONINA Daria,../../../en/results/boccia/athlete-profile-n1302739-adonina-daria.htm,BOC, 13 Nov 2002,18.0, Female, BC4,Russian,,,"To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 30 Jul 2021)",,,"""Never give up. Experience, work, discipline. This approach is needed in everything."" (fontanka.ru, 18 Jan 2021)","She has received the title of Candidate for Master of Sport in the Russian Federation. (vybnews.ru, 31 May 2021)",
53,UKR,ADZHAMETOVA Leilia,../../../en/results/athletics/athlete-profile-n1310733-adzhametova-leilia.htm,ATH, 9 Mar 1994,27.0, Female, T13,"Russian, Turkish, Ukrainian","
 Uzbekistan","2016 for Ukraine (Athlete, 10 Nov 2019)",,"US sprinter Allyson Felix. (Athlete, 10 Nov 2019)","Her late grandmother. ""I just want to show good results and dedicate them to my grandma. She inspired me to be the best."" (paralympic.org, 31 Jul 2018)",,"She was named among the top three Para Athletes of the Year in 2020 in the Kharkiv region of Ukraine. (kharkivoda.gov.ua, 30 Dec 2020)",
54,ITA,AERE Katia,../../../en/results/cycling-road/athlete-profile-n1687162-aere-katia.htm,CRD, 28 Aug 1971,50.0, Female, H5,Italian,,,"To compete at the 2020 Paralympic Games in Tokyo. (Facebook profile, 25 Jul 2021)","Italian Para cyclist Alex Zanardi. (mafra.it, 11 Mar 2021)",,"""Do not be afraid, because it is fear that makes us immobile, not illness or the difficulties of life."" (mafra.it, 11 Mar 2021)","She was presented with the 2018 'Premio Pari e Uguali' [Equal and Equal Award] by the Pari e Uguali association in Italy. The award recognises individuals who achieve their goals with passion, commitment and sacrifice. (obizzi.it, 22 Sep 2018)",
55,MAR,AFRI Mahdi,../../../en/results/athletics/athlete-profile-n1439553-afri-mahdi.htm,ATH, 1 Jan 1996,25.0, Male, T12,"Arabic, English, French",,"2016 for Morocco (Athlete, 21 Nov 2019)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook page, 16 Jul 2019)",,"His friends. (Athlete, 21 Nov 2019)",,,
56,IRI,AFROOZ Saeid,../../../en/results/athletics/athlete-profile-n1516156-afrooz-saeid.htm,ATH, 13 Dec 1990,30.0, Male, F34,Farsi,"
 Islamic Republic of Iran",,"To win a gold medal at four consecutive editions of the Paralympic Games, starting with the 2020 Games in Tokyo. (khabarfarsi.com, 01 Sep 2020)","Coach Seyed Mahdi Shahrokhi. (Athlete, 23 Aug 2021)","Coach Seyed Mahdi Shahrokhi. (Athlete, 23 Aug 2021)",,,
57,KAZ,AGALAKOV Roman,../../../en/results/swimming/athlete-profile-n1570089-agalakov-roman.htm,SWM, 9 Jan 1995,26.0, Male, S13,Russian,"
 Russian Federation","2015 for Kazakhstan, in Poland (Athlete, 27 Sep 2017)","To win gold medals at the Paralympic Games and the world championships. (Athlete, 19 Aug 2021)","US swimmer Michael Phelps. (Athlete, 19 Aug 2021)","His coach Saniya Asulova. (Athlete, 19 Aug 2021)","""Fear not that your life will come to an end, but rather that it shall never have a beginning."" [John Henry Newman] (VK profile, 01 May 2016)","He holds the title of Master of Sport of International Class in Kazakhstan. (Athlete, 27 Sep 2017)",
